_key,a,area,ci,d,eccentricity,kx,ky,m00,m01,m10,minAreaPercent,minEnclosingCircleArea,mu02,mu03,mu11,mu20,mu30,pi,sx,sy,type
-LA4qNtRRGC572Z8Y4_H,1,61009,1.2732395447351628,359.7900695800781,1,96208431420721360,96208431420721360,61009,7595620.5,7595620.5,101668.3236585189,101668.92373372143,310174840.08333325,0.000030517578125,0,310174840.08333325,0.000030517578125,988,9.838830937029251e-14,9.838830937029251e-14,Feuille de banane
-LA4uOphh5tfwgIMDzV4,0.842572414673532,101324,1.2827425983622005,467.1171875,1.1890034364261168,1033665590928975600,518314747825271200,101324,14894628,17681038,171372.08387689112,171372.67512634164,719940794.6666665,0,0,1016693459.6666665,0,1278,0,0,Feuille de banane
-LA4vE_YR4isS-CQ45Za,0.6759439415729069,246645,1.3269474416048526,753.3138427734375,0.6644736842105263,11365858172700713000,58110058163294085000,246645,75350047.5,50192257.5,445698.5674563981,445699.1208454188,7622995353.75,0,0,3371328843.75,0,2028,0,0,Feuille de banane
-LA4vOCk1xgnCuR0etz6,0.6788965275539551,247863,1.3256407365057916,754.45654296875,0.6677631578947368,11706809424574325000,58685401766142380000,247863,75722146.5,50687983.5,447051.75208311575,447052.30652159284,7660639775.25,0,0,3421521507.250002,0,2032,0,0,Feuille de banane
-LA4vjzyeV42_YyCNztL,0.8252296046684227,63662,1.2852445404426065,370.9787902832031,0.8231046931407943,77399827678715950,168103690566922530,63662,8912680,7352961,108090.03970289101,108090.6286716183,410004500.6666665,0.00006103515625,0,278208245.1666664,0.00006103515625,1014,2.193865829297605e-13,1.488646006342783e-13,Feuille de banane
-LA4vrtnWttA02MoOhQF,0.7365696195345092,306031,1.30473030911557,825.5037231445312,0.7306501547987616,32554641239227460000,113968668228760910000,306031,99307059.5,72682362.5,535214.0307895165,535214.6025807167,10675610906.583328,0.00390625,0,5705667466.583332,0,2240,0,3.6590411866651427e-13,Feuille de banane
-LA5ATKWykN_iKDq65MP,0.678926237435161,238203,1.325627721113921,739.6016845703125,0.6677852348993288,9986735421854212000,50052904731296700000,238203,71341798.5,47759701.5,429620.6068487294,429621.1612976753,7074807752.25,0,0,3160179650.25,0,1992,0,0,Feuille de cerise
-LA5AnQYaDC9YPc6OVNW,0.6378808679037284,124266,1.3463991270770361,542.1881103515625,0.6210762331838565,640503238086349400,4281266262639288000,124266,27897717,17397240,230881.3474534457,230881.88567670056,2069122099.5,0,0,800314462,0,1450,0,0,Feuille de cerise
-LA5B2YzGRF2CGC1TfYp,0.6730200666792476,48960,1.3282676263662823,335.9505615234375,1.5139664804469273,91116271986278400,17474724863999996,48960,4455360,6707520,88641.66762862008,88642.21996135748,132192000,0,0,301854720,0,904,0,0,Feuille de cerise
-LA5B8G_Bb8eJbKGw9Si,0.8359323035991427,48884,1.283658001037717,324.6837158203125,1.199004975124378,56915747326099400,27629718266576412,48884,4986168,5963848,82795.70330480038,82796.29371770179,166221894.66666663,0.0000152587890625,0,238570214.66666663,0,888,0,9.179770867790456e-14,Feuille de cerise
-LA5BIW1sOm3wEqcIgw3,0.8392882882461516,532396,1.2831888959999815,1071.1173095703125,1.1934032983508245,794219162409694900000,391933987090999500000,532396,178352660,212692202,901080.6672811185,901081.2581223941,19797322725.33333,0.0078125,0,28181894230.33333,0,2930,0,3.946240665159668e-13,Feuille de cerise
-LA5BQJFdPYc0cSd80Eh,0.6580004796903697,229845,1.3354820104170104,731.687255859375,0.6442953020134228,8060287767484853000,46602042724583720000,229845,68838577.5,44475007.5,420475.1153140394,420475.6619449643,6826568883.75,0,0,2839064593.75,0,1964,0,0,Feuille de cerise
-LA5BVnMt2MZGHyfaPHi,0.6378808679037284,124266,1.3463991270770361,542.1881103515625,0.6210762331838565,640503238086349400,4281266262639288000,124266,27897717,17397240,230881.3474534457,230881.88567670056,2069122099.5,0,0,800314462,0,1450,0,0,Feuille de cerise
-LA5BcIEFMSb0DIG3HO9,0.6708504728755758,49140,1.329264416644068,336.80999755859375,1.5195530726256983,93144754066025020,17603451683999996,49140,4471740,6756750,89095.78145345299,89096.33299130366,132678000,0,0,305196255,0,906,0,0,Feuille de cerise
-LA5BiRoZ4seh_wmEGcv,0.7531984908229554,266859,1.3000775844457788,768.1742553710938,0.7483221476510067,19743825725907124000,62820088073917010000,266859,79924270.5,59909845.5,463456.35110239,463456.92690347205,7925912444.25,0,0,4443402494.25,0,2088,0,0,Feuille de cerise
-LA5Bol7ZvMJHD1Bb8MY,0.5013138752453514,135850,1.488357044482293,621.0045776367188,2.231707317073171,11727556971462666000,477028807303319200,135850,16913325,37494600,302885.74995112227,302886.1984694129,690672720.833333,0.0001220703125,0,3424552083.333332,0.0009765625,1594,2.851650307065706e-13,1.7674118119608913e-13,Feuille de cerise
-LA5ByBOOr7KfbGZWYm8,0.6904219164800282,118428,1.3207839056692754,519.6602783203125,0.6802884615384616,633606549923236100,2945035388931312600,118428,24810666,16935204,212093.70619712767,212094.26457149125,1716110541,0,0,795994064,0,1402,0,0,Feuille de cerise
-LA5C2pyi2Qq-0QzTTuv,0.8359323035991427,48884,1.283658001037717,324.6837158203125,1.199004975124378,56915747326099400,27629718266576412,48884,4986168,5963848,82795.70330480038,82796.29371770179,166221894.66666663,0.0000152587890625,0,238570214.66666663,0,888,0,9.179770867790456e-14,Feuille de cerise
-LA5C6mk34fySQ8Xazp-,0.8359323035991427,48884,1.283658001037717,324.6837158203125,1.199004975124378,56915747326099400,27629718266576412,48884,4986168,5963848,82795.70330480038,82796.29371770179,166221894.66666663,0.0000152587890625,0,238570214.66666663,0,888,0,9.179770867790456e-14,Feuille de cerise
-LA5CGM_0nGejSIxz5MT,0.7526861396647234,130104,1.300213092782696,536.4243774414062,0.7475961538461539,1113876860211707800,3554373201003389400,130104,27256788,20426328,225998.61975721133,225999.1954406767,1885304537.999999,0,-4.76837158203125e-7,1055403648,0,1458,0,0,Feuille de cerise
-LA5Cc-6zgalqjuGU1xS,0.6736648918175195,420816,1.327974207091502,984.710693359375,0.6620603015075377,95577944402080830000,496198310653897150000,420816,168115992,111516240,761564.8210703814,761565.3736375208,22275509212.000008,0,0.00000762939453125,9776397312,0,2650,0,0,Feuille de cerise
-LA5D7c1qzl5_jF_l9KO,0.6378808679037284,124266,1.3463991270770361,542.1881103515625,0.6210762331838565,640503238086349400,4281266262639288000,124266,27897717,17397240,230881.3474534457,230881.88567670056,2069122099.5,0,0,800314462,0,1450,0,0,Feuille de cerise
-LA5NX4-9ZQcIFc7_HAH,0.4813195559554919,30659,7.0494314526670125,376.66607666015625,2.382978723404255,126192169311450780,4325290964700217.5,30659,2357111.333333333,4903414.666666666,111429.9218658378,111430.19700669569,65766944.31627655,-622007439.913826,27974662.59212452,355235371.70649374,5633291953.219482,1648.0142805576324,15.857913940715001,-9.45775185969658,Feuille de châtaignier
-LA5NbyWXJfMZY2K-KX-,0.7295269520470593,20910,1.3068668301765782,216.1258087158203,1.3852459016393444,2535953343062497,694969938609803.2,20910,1306875,1798260,36685.665065714296,36686.23503425919,26362282.5,0,0,50358250,0,586,0,0,Feuille de châtaignier
-LA5NivCb7ptmMgwktG4,0.8433804281232015,48923,1.282634706022275,324.5562438964844,1.188118811881188,56070165653746360,28225901428023320,48923,5014607.5,5944144.5,82730.70292222309,82731.29427039952,168005658.91666663,0.0000152587890625,0,236791396.91666663,0,888,0,9.082306608534295e-14,Feuille de châtaignier
-LA5NoTY5z7oDTOGbVwg,0.4364718928119901,63048,1.6634225996112584,464.5060119628906,2.891156462585034,909114392557810000,13244238671635456,63048,4728600,13492272,169461.71860265493,169462.09065046668,115083616,0,0,953474904.0000005,0,1148,0,0,Feuille de châtaignier
-LA5Nv8iNurJFLgJbdB9,0.7531132427333529,232269,1.3001000976681942,716.6742553710938,0.7482014388489209,11328286604599171000,36061251012238184000,232269,64919185.5,48660355.5,403397.1905189921,403397.76630056405,6005102081.75,0,0,3365752011.75,0,1948,0,0,Feuille de châtaignier
-LA5O-shE9N71fB8lvhB,0.8203539206811828,89701,1.2860143810275302,440.6209411621094,0.8181818181818182,301376399903479940,670724317628031900,89701,14935216.5,12244186.5,152481.96271000183,152482.5509805903,818977605.083333,0.0001220703125,0,548977595.083333,0.0001220703125,1204,2.2235937057043307e-13,1.4905207632335569e-13,Feuille de châtaignier
-LA5OA-LSLAet0xYbJWI,0.4853546538543348,42795,1.519616380112003,354.88543701171875,0.4240506329113924,4224337838446286.5,128428265799443260,42795,6825802.5,2931457.5,98915.49714212042,98915.92978224314,358368896.25,0,0,64994906.25,0,904,0,0,Feuille de châtaignier
-LA5OFfCK-fBDpMD56Gg,0.6785572113832437,185504,1.3257895720358064,652.757568359375,1.4985754985754987,18432596920070164000,3668721283368774000,185504,32834208,49065808,334651.66789060517,334652.2222093507,1915390634.666666,0.000244140625,0,4293320034.666664,0.001953125,1758,4.54921828382086e-13,1.2746257634411353e-13,Feuille de châtaignier
-LA5OQ08Aq-t7202wQjG,0.6512546180169987,247331,1.3389733013072191,760.903076171875,1.5707070707070707,63995111692012200000,10552531125221968000,247331,49342534.5,77290937.5,454724.17283098696,454724.71674468,3248465964.916666,0,0,7999694474.916664,0.001953125,2040,2.441499492416986e-13,0,Feuille de châtaignier
-LA5OVtdI1h42Iwn2vZc,0.7437681690205324,36408,1.3026505109272708,284.2874450683594,1.3558282208588956,22358519908854332,6658962130871294,36408,3021864,4077696,63474.7965981816,63475.37017498627,81602464,0,0,149527656,0,772,0,0,Feuille de châtaignier
-LA5OcivOq5QYUaUFwFY,0.6610136719222062,94107,1.3339743712232683,467.6812744140625,1.5447154471544715,1295929178927072500,228912326270932830,94107,11716321.5,18021490.5,171786.27371826017,171786.82153094545,478447830.25,0,0,1138388852.25,0,1256,0,0,Feuille de châtaignier
-LA5OjqYqXOhwZBPQeFH,0.5796716108752399,110409,1.3885598125335454,526.0245361328125,0.5515695067264574,315089748623038300,3379687560392327000,110409,24786820.5,13745920.5,217320.58739009788,217321.09543557675,1838392656.750001,0,4.76837158203125e-7,561328556.7500002,0,1388,0,0,Feuille de châtaignier
-LA5S0ZY82pyJjnQuTUl,0.6624716932442358,412846,1.333256015405661,979.059814453125,0.6494974874371859,85218269165011090000,477580906751808400000,412846,164931977,107339960,752849.2387976026,752849.7871752564,21853624567.83333,0.0078125,0,9231374175.333328,0.00390625,2630,4.2314935196080407e-13,3.5749218514073557e-13,Feuille de citron
-LA5S89XzPzwOsBZvwFP,0.5384615384615385,49298,1.432394487827058,361.5945739746094,0.4984025559105431,10254033182594056,164064530921504960,49298,7789084,3919191,102690.82926070695,102691.30932080478,405048800.6666665,0.00006103515625,0,101262200.16666663,0.00000762939453125,942,7.534296626671e-14,1.5068593253342e-13,Feuille de citron
-LA5SDoH-09huandqKa-,0.6759439415729069,246645,1.3269474416048526,753.3138427734375,0.6644736842105263,11365858172700713000,58110058163294085000,246645,75350047.5,50192257.5,445698.5674563981,445699.1208454188,7622995353.75,0,0,3371328843.75,0,2028,0,0,Feuille de citron
-LA5SICnppi7KyqPglm9,0.5861233183582034,13816,1.3829292789651153,185.37997436523438,1.793103448275862,805379862935698.5,79493724549572.03,13816,621720,1098372,26990.273192446435,26990.785070850998,8915925.333333328,4.76837158203125e-7,0,28379215.33333333,0,490,0,5.348151093419415e-14,Feuille de citron
-LA5SQphNjQR0w6oVlmA,0.7845629613611907,496531,1.292648504324998,1041.94970703125,1.279742765273312,690817816358853000000,257918462161243200000,496531,155165937.5,198364134.5,852674.153136921,852674.7354586192,16059840041.583328,0.00390625,0,26283413331.583344,0.0078125,2840,2.9724069326308334e-13,2.4323094064982264e-13,Feuille de citron
-LA5WPuyWSNqon7wEe3w,0.9573369281449063,25748,1.2738453076846348,233.84628295898438,0.9570552147239264,2797197416518415,3330426863968963,25748,2137084,2046966,42948.17967805699,42948.77918287389,57709850.66666666,0,0,52888537.66666666,0,642,0,0,Feuille de citron
-LA5_Mrs9pYLoAL3eg2s,0.6504854368932039,56133,1.339381858747379,362.5980224609375,0.6351351351351351,27920374007165500,170254975359812670,56133,8391883.5,5360701.5,103261.5066868683,103262.0502844421,412619649.75,0,0,167093907.75,0,972,0,0,Feuille de coing
-LA5aVrWe17ahLCPRPt8,0.6359420015499381,123819,1.3475347313439348,541.6448364257812,0.6188340807174888,626803147410526600,4250521182470501400,123819,27797365.5,17272750.5,230418.8915961026,230419.42895964245,2061679214.250001,0,4.76837158203125e-7,791709004.25,0,1448,0,0,Feuille de coing
-LA5aoRmHb1Lpk2W3rld,0.566518696104361,216876,1.4009665308707626,743.2982788085938,0.5354330708661418,4416497746302459000,53442769969085740000,216876,69183444,37194234,433925.9624793711,433926.4622783436,7310456208,0,0,2101546513,0,1954,0,0,Feuille de coing
-LA5b0hvCOd53cvjrfoW,0.6750048828022457,91884,1.3273685766843784,459.9304504394531,1.508130081300813,1122765485569139000,218225304032603780,91884,11439558,17182308,166139.44795299304,166140.00100463288,467145913.00000024,0,2.384185791015625e-7,1059606288,0,1238,0,0,Feuille de coing
-LA5b7BJx7w5OaopmlsI,0.6512826776853821,59306,11.539939382288928,542.7327880859375,0.6233183856502242,317655146488008900,1925362618335472400,59306,12729940.666666666,9566190.166666666,231345.7464340366,231346.0027859912,1387574364.9748912,17804105153.04419,-7463149.249141693,563609036.9112341,-24068596701.732605,2932.6214878559113,-42.70441942101667,12.83109979721077,Feuille de coing
-LA5bCzrGSE_OQgHxs6G,0.7244210026974982,50806,1.3084813096799297,337.29473876953125,0.7169811320754716,23856184487131820,89741652465043020,50806,6808004,4902779,89352.4060805934,89352.97467945854,299569111.33333325,0.000030517578125,0,154454473.83333325,0.000030517578125,914,1.9758299884489273e-13,1.0187157811154573e-13,Feuille de coing
-LA5bN69_Mc9QP2YWZGC,0.7265723335291299,143934,1.307794215428826,567.4290161132812,1.3894080996884735,5743734940938512000,1546634823377756700,143934,23317308,32313183,252878.54508982913,252879.11427087997,1243637738,0,0,2396609050.5,0,1538,0,0,Feuille de coing
-LA8ap4YmGam_WVFvdZW,0.814082019286925,62325,1.2870495717265944,367.5729064941406,1.2321428571428572,158811211395171940,69134074722290040,62325,7073887.5,8694337.5,106114.43410619062,106115.02144056754,262933593.75,0,0,398511243.75,0,1004,0,0,Feuille de figues
-LA8b6hDu_iX50ldrOdg,0.9418850783088785,188187,1.2743829684735732,632.4652709960938,0.9417040358744395,7725829671456948000,9818538295849724000,188187,42247981.5,39801550.5,314168.34169227025,314168.94069164805,3133454690.25,0,0,2779537672.25,0,1736,0,0,Feuille de figues
-LA8bH0OvnNHdVc9gdtl,0.6754096644154757,132759,1.327186715466603,552.7733154296875,1.5067567567567568,4886473471367281000,952338298806551200,132759,19847470.5,29804395.5,239984.40447604042,239984.9576732128,975878219.25,0,0,2210536919.25,0,1488,0,0,Feuille de figues
-LA8bRh-uN7JOhXcRJZ2,0.7141271845590412,141252,1.3119116765053325,563.8391723632812,1.415873015873016,5531676982585124000,1381576857605560600,141252,22459068,31711074,249688.9869003133,249689.55261080668,1175404976,0,0,2351951739,0,1526,0,0,Feuille de figues
-LA8bbQSZQTiR6HzJfdY,0.626305480605455,121584,1.353416543882901,538.9498901367188,0.6076233183856502,561908987324268540,4098457677851881500,121584,27295608,16657008,228131.70286870212,228132.23582275643,2024464787.999999,0,-4.76837158203125e-7,749605888,0,1438,0,0,Feuille de figues
-LA8bhHG-1WuP8hBtLOw,0.919166425075462,56069,1.2755103887750694,345.53082275390625,1.0884955752212389,81258900533992420,57967765201379160,56069,6419900.5,6980590.5,93769.30573887638,93769.90368126301,240764958.4166665,0.000030517578125,-1.1920928955078125e-7,285059468.4166664,0.00006103515625,948,2.1411376576618738e-13,1.2675257365395526e-13,Feuille de figues
-LA8bl_QoOk6AH1fSQNF,0.8998095154686573,43143,1.2768105060710213,303.4045104980469,1.1122448979591837,29732720564502132,19468078759959276,43143,4292728.5,4767301.5,72298.67906125965,72299.27578922863,139528057.25,0,0,172431785.25000006,0,832,0,0,Feuille de figues
-LA8bsaae4aOPuJJljZ8,0.8247671977040246,164496,1.2853162639239153,596.3629150390625,0.8228699551569507,3446191970518565400,7502021147348255000,164496,36929352,30431760,279325.2676522262,279325.85655581724,2738981771.999999,0,-9.5367431640625e-7,1856392192,0,1630,0,0,Feuille de figues
-LA8byygsA9NDMowkIx0,0.9575140139865144,191316,1.2738401733752782,637.43017578125,1.044496487119438,10147759938089583000,8529334922598311000,191316,41132940,42950442,319120.2059009609,319120.8054106035,2920502512,0,0,3185554887,0,1750,0,0,Feuille de figues
-LA8c7iaxuQsrphC8-SN,0.9999999999999994,199809,1.2732395447351628,651.1180419921875,1,11068727429632170000,11068727429632170000,199809,44857120.5,44857120.5,332972.6462873889,332973.2463626267,3326969706.749998,0,-0.0000019073486328125,3326969706.749998,0,1788,0,0,Feuille de figues
-LA8cEk8ZqjKunLnNzjP,0.6754096644154757,132759,1.327186715466603,552.7733154296875,1.5067567567567568,4886473471367281000,952338298806551200,132759,19847470.5,29804395.5,239984.40447604042,239984.9576732128,975878219.25,0,0,2210536919.25,0,1488,0,0,Feuille de figues
-LA8cTC4Bo1RbM4LX6UG,0.981691689492415,494870,1.273348248780195,1024.7899169921875,1.0186781609195403,432168547440118300000,401375513260762200000,494870,172957065,176173720,824820.1325526767,824820.7325254714,20034358319.166656,0.0078125,0,20788663916.666656,0.0078125,2814,3.7580577719266383e-13,3.899550899279796e-13,Feuille de figues
-LA8cZOjIVow4BTMiAZU,0.9954955183966893,49062,1.2732460326460955,322.6465759277344,1.0045454545454546,40601296507597960,39874669727085610,49062,5470413,5494944,81759.98723623404,81760.58730530909,199686428.5,0,0,201497634,0,886,0,0,Feuille de figues
-LA8ceOkZtOcUMh0rG3I,0.6734032658800104,132312,1.3280931008364734,552.2039184570312,1.511864406779661,4853623322646394000,933260361829728300,132312,19714488,29704044,239490.25569524374,239490.80816738668,966054016,0,0,2203094034,0,1486,0,0,Feuille de figues
-LA8coo-IkwvGvPQtoNF,0.6759439415729069,246645,1.3269474416048526,753.3138427734375,1.504950495049505,58110058163294085000,11365858172700713000,246645,50192257.5,75350047.5,445698.5674563981,445699.1208454188,3371328843.75,0,0,7622995353.75,0,2028,0,0,Feuille de figues
-LA8cvTTMfEO-svOp-Q4,0.9536933941399874,63973,1.27395604425231,368.633544921875,0.9534883720930233,105783700570955260,127888059862191140,63973,8348476.5,7964638.5,106727.69929515605,106728.29869569726,357614401.08333325,0,0,325244063.08333325,0.000030517578125,1012,9.382977766201641e-14,0,Feuille de figues
-LA8d1FLwjNpCH_DH79Z,0.7206576139600023,168642,1.3097077158370058,615.0790405273438,1.4017341040462428,11018286810837596000,2863432139180198000,168642,29428029,41148648,297133.01398535294,297133.5815482623,1692167881.5,0,0,3319380486,0,1666,0,0,Feuille de figues
